iter	RMSE
0	84460.39765
1	79447.83464
2	74955.37073
3	71390.20065
4	68187.46682
5	65284.44546
6	62583.68827
7	60193.66403
8	57927.51108
9	56060.82904
10	54295.44866
11	52852.40428
12	51447.49753
13	50086.37956
14	48975.52817
15	47954.31471
16	47097.84552
17	46263.96286
18	45448.43281
19	44772.09353
20	44256.49563
21	43561.89023
22	43065.3997
23	42484.19244
24	42057.11599
25	41609.57444
26	41090.54401
27	40546.71396
28	40152.15539
29	39651.70982
30	39349.05799
31	39103.61713
32	38844.04995
33	38534.08314
34	38138.13694
35	37875.35709
36	37485.26079
37	37292.08859
38	37034.39033
39	36808.88467
40	36545.83908
41	36421.57701
42	36175.10449
43	35971.29497
44	35749.62802
45	35475.24763
46	35399.08147
47	35215.39849
48	35114.1927
49	34879.70227
50	34742.33415
51	34690.68316
52	34543.97592
53	34354.41326
54	34237.05947
55	34173.26841
56	34070.29949
57	33973.16302
58	33827.16068
59	33698.65617
60	33556.05232
61	33541.10557
62	33510.52131
63	33349.95813
64	33229.44582
65	33107.36319
66	32916.7428
67	32885.32874
68	32845.33238
69	32752.95637
70	32710.19709
71	32571.28796
72	32530.2027
73	32503.61638
74	32479.90353
75	32402.38813
76	32362.14509
77	32357.04639
78	32321.2526
79	32075.52218
80	32016.83499
81	31962.1623
82	31926.49424
83	31758.82675
84	31713.73252
85	31674.87859
86	31567.05429
87	31559.79201
88	31469.5885
89	31414.87045
90	31412.44788
91	31399.36199
92	31336.19467
93	31305.90893
94	31304.14484
95	31223.7006
96	31067.31508
97	31033.63357
98	30883.07921
99	30769.86161
100	30674.77313
101	30630.5731
102	30506.83053
103	30473.04527
104	30412.8031
105	30346.69019
106	30328.4354
107	30223.74085
108	30154.11665
109	30090.96824
110	30062.98182
111	30007.26087
112	29997.27922
113	29952.60934
114	29831.66409
115	29827.60184
116	29780.32265
117	29712.87934
118	29669.07114
119	29609.10423
120	29507.08808
121	29400.49873
122	29377.5342
123	29300.50168
124	29300.39745
125	29293.18808
126	29289.91033
127	29255.63426
128	29201.77512
129	29198.36798
130	29191.70357
131	29191.1928
132	29156.69492
133	29061.28126
134	28986.28257
135	28986.23176
136	28986.13773
137	28957.97927
138	28907.65078
139	28880.20305
140	28876.95476
141	28848.36797
142	28848.2939
143	28776.58209
144	28773.10017
145	28709.42438
146	28663.74183
147	28580.88945
148	28520.15817
149	28400.28603
