iter	Passed	Remaining
0	54	8130
1	60	4498
2	67	3307
3	74	2722
4	78	2281
5	81	1966
6	84	1726
7	87	1553
8	89	1401
9	91	1279
10	93	1187
11	96	1107
12	98	1035
13	99	969
14	101	914
15	103	864
16	104	821
17	106	781
18	108	745
19	109	712
20	111	683
21	112	655
22	114	629
23	115	606
24	116	584
25	118	564
26	119	546
27	121	528
28	122	512
29	124	496
30	125	482
31	127	468
32	128	455
33	129	443
34	131	431
35	132	420
36	134	410
37	135	400
38	137	390
39	138	381
40	140	372
41	141	364
42	143	356
43	144	348
44	145	340
45	147	333
46	148	325
47	150	318
48	151	312
49	152	305
50	154	299
51	155	293
52	157	287
53	158	282
54	160	276
55	161	271
56	163	266
57	164	261
58	166	256
59	167	251
60	168	246
61	170	241
62	171	236
63	172	232
64	174	228
65	175	223
66	177	219
67	178	215
68	180	211
69	181	207
70	183	204
71	184	200
72	186	196
73	187	192
74	189	189
75	190	185
76	192	182
77	193	178
78	195	175
79	196	172
80	198	168
81	199	165
82	201	162
83	202	159
84	204	156
85	205	153
86	207	150
87	208	146
88	210	143
89	211	141
90	212	137
91	214	135
92	215	132
93	217	129
94	218	126
95	220	123
96	221	121
97	223	118
98	224	115
99	226	113
100	227	110
101	228	107
102	230	105
103	231	102
104	233	99
105	234	97
106	236	94
107	237	92
108	239	89
109	240	87
110	242	85
111	243	82
112	245	80
113	246	77
114	248	75
115	249	73
116	251	70
117	252	68
118	254	66
119	255	63
120	257	61
121	258	59
122	260	57
123	261	54
124	262	52
125	263	50
126	265	48
127	266	45
128	268	43
129	269	41
130	271	39
131	272	37
132	274	35
133	275	32
134	277	30
135	278	28
136	279	26
137	280	24
138	282	22
139	283	20
140	285	18
141	286	16
142	287	14
143	289	12
144	291	10
145	292	8
146	294	6
147	295	3
148	296	1
149	298	0
